"","region_1","country","variety","points"
"8714","Toscana","Italy","White Blend",91.0725171221616
"8722","Molise","Italy","Aglianico",96.3868210043265
"8723","Terra degli Osci","Italy","Red Blend",90.7144516556902
"8726","Umbria","Italy","Red Blend",86.7441321911013
"8737","Chianti Classico","Italy","Sangiovese",86.9183630693504
"8749","Nebbiolo d'Alba","Italy","Nebbiolo",92.3688074511919
"8765","Rosso di Montepulciano","Italy","Sangiovese",93.9908971579966
"8766","Nebbiolo d'Alba","Italy","Nebbiolo",95.3219689950137
"8810","Langhe","Italy","Nebbiolo",94.2839635049273
"8948","Sicilia","Italy","Red Blend",90.0357793431152
"9023","Sicilia","Italy","Nerello Mascalese",93.5486901900082
"9064","Barbera d'Asti","Italy","Barbera",94.1224276849611
"9135","Prosecco","Italy","Glera",93.8833800688393
"9138","Piave","Italy","Raboso",87.5948224926954
"9147","Piedmont","Italy","Moscato",90.6743449082585
"9156","Italy","Italy","Moscato",93.8245518841437
"9191","Toscana","Italy","Red Blend",90.399248206107
"9194","Rosso di Montepulciano","Italy","Sangiovese",105.812762322033
"9274","Chianti Classico","Italy","Red Blend",93.7693414796528
"9285","Rosso di Montepulciano","Italy","Red Blend",88.8165027758275
"9409","Prosecco","Italy","Glera",80.3233441746667
"9472","Prosecco di Valdobbiadene","Italy","Prosecco",94.1759918034549
"9476","Friuli","Italy","Ribolla Gialla",93.8909413160552
"9498","Langhe","Italy","Red Blend",98.0533456051995
"9710","Isola dei Nuraghi","Italy","Red Blend",88.2888301913865
"9741","Soave Classico","Italy","Garganega",101.387582900446
"9757","Alto Adige","Italy","Chardonnay",93.110557613233
"9821","Montepulciano d'Abruzzo","Italy","Montepulciano",95.3488930104352
"9835","Trentino","Italy","Pinot Grigio",81.9205909438438
"9864","Lambrusco di Sorbara","Italy","Lambrusco di Sorbara",94.7434777565502
"9955","Sicilia","Italy","Nero d'Avola",98.4153290702331
"10071","Alto Adige","Italy","Pinot Grigio",94.8335626967464
"10106","Moscato d'Asti","Italy","Moscato",96.9743857023672
"10108","Chianti Classico","Italy","Sangiovese",82.1285889025048
"10114","Sicilia","Italy","White Blend",94.2564511864525
"10120","Sicilia","Italy","Grillo",90.4905231118659
"10124","Sicilia","Italy","Nero d'Avola",94.8840664392139
"10142","Sicilia","Italy","Syrah",101.778126418526
"10215","Trento","Italy","Champagne Blend",89.4412613855141
"10287","Morellino di Scansano","Italy","Sangiovese",91.2610488437296
"10428","Sicilia","Italy","Grillo",95.2183530075102
"10434","Fiano di Avellino","Italy","Fiano",105.216215664057
"10440","Moscato d'Asti","Italy","Moscato",94.0227897226947
"10452","Moscato d'Asti","Italy","Moscato",96.8556643725458
"10456","Montecucco","Italy","Red Blend",92.6280131028086
"10554","Lugana","Italy","Turbiana",90.4434334248647
"10555","Alto Adige","Italy","Schiava",87.7758627335638
"10632","Sicilia","Italy","Merlot",95.4822063345655
"10633","Sicilia","Italy","Nero d'Avola",93.6904342184653
"10634","Sicilia","Italy","Nero d'Avola",95.3066129380798
"10635","Sicilia","Italy","Catarratto",93.0047028098873
"10636","Sicilia","Italy","Grillo",90.0756271832579
"10644","Sicilia","Italy","Red Blend",88.2260250576488
"10653","Sicilia","Italy","White Blend",99.439366680271
"10654","Sicilia","Italy","Nero d'Avola",97.4168178552062
"10671","Salento","Italy","Primitivo",88.3561193293321
"10672","Salento","Italy","Primitivo",84.2930332015877
"10684","Prosecco","Italy","Glera",83.1537380756929
"10692","Prosecco","Italy","Glera",79.4170015799138
"10699","Prosecco","Italy","Glera",89.9702061139453
"10703","Prosecco","Italy","Glera",82.8462786135435
"10705","Prosecco","Italy","Glera",90.5591633095082
"10708","Valdobbiadene Prosecco Superiore","Italy","Glera",86.3553047780174
"10730","Salice Salentino","Italy","Red Blend",98.473683552892
"10824","Barbera d'Asti","Italy","Barbera",90.7949121256996
"10908","Primitivo di Manduria","Italy","Primitivo",98.2066077565635
"10941","Montepulciano d'Abruzzo","Italy","Montepulciano",87.1035139782482
"11017","Chianti","Italy","Sangiovese",88.0502619657658
"11023","Alto Adige","Italy","Pinot Bianco",92.6697631132386
"11033","Toscana","Italy","Red Blend",94.2192085249624
"11040","Soave","Italy","Garganega",94.0266557698719
"11042","Friuli Grave","Italy","Red Blend",97.5181471021841
"11073","Chianti Classico","Italy","Sangiovese",87.5196101439888
"11115","Soave Classico","Italy","Garganega",89.1591452191411
"11173","Alto Adige","Italy","Müller-Thurgau",86.2396333228884
"11213","Dogliani","Italy","Dolcetto",99.0204830661465
"11222","Barbera d'Asti Superiore","Italy","Barbera",100.294226240967
"11231","Cortona","Italy","Syrah",98.5222770350531
"11238","Barbera d'Alba","Italy","Barbera",105.469017726197
"11267","Collio","Italy","Pinot Grigio",93.8903231967189
"11378","Basilicata","Italy","Moscato",96.1139133738883
"11394","Beneventano","Italy","Falanghina",96.0235703874334
"11396","Salento","Italy","Red Blend",98.1795201995075
"11462","Vernaccia di San Gimignano","Italy","Vernaccia",92.7301474175173
"11464","Bolgheri","Italy","Red Blend",95.7166854574842
"11470","Morellino di Scansano","Italy","Red Blend",85.6306847006218
"11482","Bolgheri","Italy","Red Blend",98.0283441734005
"11580","Lambrusco di Sorbara","Italy","Lambrusco di Sorbara",105.566869588144
"11586","Salento","Italy","Negroamaro",90.0982415340051
"11596","Prosecco","Italy","Glera",85.7389013603429
"11597","Emilia","Italy","Lambrusco",87.0927759679858
"11600","Piedmont","Italy","Brachetto",91.047617134314
"11609","Italy","Italy","White Blend",92.1843515832448
"11610","Lambrusco di Sorbara","Italy","Lambrusco",91.0571395165945
"11612","Piedmont","Italy","Brachetto",88.3236261621906
"11617","Vernaccia di San Gimignano","Italy","Vernaccia",90.0116630602201
"11674","Toscana","Italy","Red Blend",86.5882253578824
"11677","Toscana","Italy","Red Blend",94.7349977161069
"11747","Rosso di Montalcino","Italy","Sangiovese Grosso",97.6366796420691
"11769","Toscana","Italy","Red Blend",96.6160217348027
"11787","Cortona","Italy","Sangiovese",86.9698523177414
"11791","Dogliani","Italy","Dolcetto",89.9365275776778
"11795","Barbera d'Alba","Italy","Barbera",96.1113846894063
"11821","Puglia","Italy","Negroamaro",101.401763357533
"11942","Salento","Italy","White Blend",87.8584319155323
"11944","Salento","Italy","Chardonnay",80.6735978180127
"11953","Lacryma Christi del Vesuvio","Italy","Red Blend",98.620041675485
"12082","Toscana","Italy","Red Blend",90.7807753512801
"12108","Chianti","Italy","Red Blend",95.073900827915
"12117","Collio","Italy","Sauvignon",95.727496105075
"12123","Lugana","Italy","Turbiana",100.670014023917
"12191","Puglia","Italy","Red Blend",96.7056507093838
"12206","Morellino di Scansano","Italy","Red Blend",91.3801835116692
"12246","Sicilia","Italy","Rosé",94.684372459509
"12248","Prosecco di Conegliano","Italy","Champagne Blend",90.812483948462
"12311","Conegliano Valdobbiadene Prosecco Superiore","Italy","Glera",98.8088524843178
